recipe_id,step_number,description
butter-chicken-007,1,Step 1 description
butter-chicken-007,2,Step 2 description
butter-chicken-007,3,Step 3 description
butter-chicken-007,4,Step 4 description
butter-chicken-007,5,Step 5 description
chana-masala-005,1,Step 1 description
chana-masala-005,2,Step 2 description
chana-masala-005,3,Step 3 description
chana-masala-005,4,Step 4 description
chana-masala-005,5,Step 5 description
chocolate-cake-003,1,Step 1 description
chocolate-cake-003,2,Step 2 description
chocolate-cake-003,3,Step 3 description
chocolate-cake-003,4,Step 4 description
chocolate-cake-003,5,Step 5 description
dal-tadka-008,1,Step 1 description
dal-tadka-008,2,Step 2 description
dal-tadka-008,3,Step 3 description
dal-tadka-008,4,Step 4 description
edli-018,1,Step 1 description
edli-018,2,Step 2 description
edli-018,3,Step 3 description
edli-018,4,Step 4 description
edli-018,5,Step 5 description
edli-018,6,Step 6 description
falafel-wrap-015,1,Step 1 description
falafel-wrap-015,2,Step 2 description
falafel-wrap-015,3,Step 3 description
falafel-wrap-015,4,Step 4 description
falafel-wrap-015,5,Step 5 description
grilled-cheese-004,1,Step 1 description
grilled-cheese-004,2,Step 2 description
grilled-cheese-004,3,Step 3 description
grilled-cheese-004,4,Step 4 description
masala-dosa-002,1,Step 1 description
masala-dosa-002,2,Step 2 description
masala-dosa-002,3,Step 3 description
masala-dosa-002,4,Step 4 description
misal-pav-020,1,Step 1 description
misal-pav-020,2,Step 2 description
misal-pav-020,3,Step 3 description
miso-soup-011,1,Step 1 description
miso-soup-011,2,Step 2 description
miso-soup-011,3,Step 3 description
pancakes-010,1,Step 1 description
pancakes-010,2,Step 2 description
pancakes-010,3,Step 3 description
pancakes-010,4,Step 4 description
pancakes-010,5,Step 5 description
paneer-tikka-006,1,Step 1 description
paneer-tikka-006,2,Step 2 description
paneer-tikka-006,3,Step 3 description
paneer-tikka-006,4,Step 4 description
paneer-tikka-006,5,Step 5 description
pav-bhaji-001,1,"Boil potatoes, cauliflower, peas until soft."
pav-bhaji-001,2,Mash vegetables roughly and keep aside.
pav-bhaji-001,3,"Saute onions and tomatoes, add spices and pav bhaji masala."
pav-bhaji-001,4,"Add mashed veg, simmer and adjust seasoning."
pav-bhaji-001,5,Serve hot with buttered pav and chopped onions.
pulav-016,1,Step 1 description
pulav-016,2,Step 2 description
pulav-016,3,Step 3 description
pulav-016,4,Step 4 description
pulav-016,5,Step 5 description
pulav-016,6,Step 6 description
puran-poli-019,1,Step 1 description
puran-poli-019,2,Step 2 description
puran-poli-019,3,Step 3 description
quinoa-salad-013,1,Step 1 description
quinoa-salad-013,2,Step 2 description
quinoa-salad-013,3,Step 3 description
ramen-bowl-014,1,Step 1 description
ramen-bowl-014,2,Step 2 description
ramen-bowl-014,3,Step 3 description
ramen-bowl-014,4,Step 4 description
spaghetti-aglio-009,1,Step 1 description
spaghetti-aglio-009,2,Step 2 description
spaghetti-aglio-009,3,Step 3 description
spaghetti-aglio-009,4,Step 4 description
spaghetti-aglio-009,5,Step 5 description
tacos-012,1,Step 1 description
tacos-012,2,Step 2 description
tacos-012,3,Step 3 description
vada-pav-017,1,Step 1 description
vada-pav-017,2,Step 2 description
vada-pav-017,3,Step 3 description
vada-pav-017,4,Step 4 description
vada-pav-017,5,Step 5 description
veg-biryani-001,1,Step 1 description
veg-biryani-001,2,Step 2 description
veg-biryani-001,3,Step 3 description
veg-biryani-001,4,Step 4 description
veg-biryani-001,5,Step 5 description
