recipe_id,title,description,author_id,servings,prep_time_minutes,cook_time_minutes,total_time_minutes,difficulty,cuisine,tags,created_at,updated_at
butter-chicken-007,Butter Chicken,A simple Butter Chicken recipe for testing.,user_gen_2,2,13,37,50,hard,Italian,synthetic|test,2025-11-17T08:00:00Z,
chana-masala-005,Chana Masala,A simple Chana Masala recipe for testing.,user_gen_1,4,24,39,63,hard,Middle Eastern,synthetic|test,2025-11-17T08:00:00Z,
chocolate-cake-003,Chocolate Cake,A simple Chocolate Cake recipe for testing.,user_gen_4,2,5,24,29,easy,Italian,synthetic|test,2025-11-17T08:00:00Z,
dal-tadka-008,Dal Tadka,A simple Dal Tadka recipe for testing.,user_gen_5,6,10,59,69,hard,Middle Eastern,synthetic|test,2025-11-17T08:00:00Z,
edli-018,Edli,A simple Edli recipe for testing.,user_gen_5,4,8,50,58,easy,Italian,synthetic|test,2025-11-17T08:00:00Z,
falafel-wrap-015,Falafel Wrap,A simple Falafel Wrap recipe for testing.,user_gen_1,6,7,17,24,medium,Italian,synthetic|test,2025-11-17T08:00:00Z,
grilled-cheese-004,Grilled Cheese,A simple Grilled Cheese recipe for testing.,user_gen_5,6,17,30,47,medium,Indian,synthetic|test,2025-11-17T08:00:00Z,
masala-dosa-002,Masala Dosa,A simple Masala Dosa recipe for testing.,user_gen_4,2,27,21,48,medium,Italian,synthetic|test,2025-11-17T08:00:00Z,
misal-pav-020,Misal pav,A simple Misal pav recipe for testing.,user_gen_4,4,17,44,61,easy,Italian,synthetic|test,2025-11-17T08:00:00Z,
miso-soup-011,Miso Soup,A simple Miso Soup recipe for testing.,user_gen_3,6,17,32,49,easy,American,synthetic|test,2025-11-17T08:00:00Z,
pancakes-010,Pancakes,A simple Pancakes recipe for testing.,user_gen_2,2,13,59,72,easy,Japanese,synthetic|test,2025-11-17T08:00:00Z,
paneer-tikka-006,Paneer Tikka,A simple Paneer Tikka recipe for testing.,user_gen_3,2,26,35,61,hard,Japanese,synthetic|test,2025-11-17T08:00:00Z,
pav-bhaji-001,Pav Bhaji,Spicy mashed vegetable curry served with buttered pav buns.,user_vaishnavi,4,15,25,40,medium,Indian,street-food|vegetarian|comfort-food,2025-11-17T08:00:00Z,2025-11-17T08:00:00Z
pulav-016,Pulav,A simple Pulav recipe for testing.,user_gen_4,4,25,43,68,hard,Middle Eastern,synthetic|test,2025-11-17T08:00:00Z,
puran-poli-019,Puran poli,A simple Puran poli recipe for testing.,user_gen_2,2,13,47,60,easy,Middle Eastern,synthetic|test,2025-11-17T08:00:00Z,
quinoa-salad-013,Quinoa Salad,A simple Quinoa Salad recipe for testing.,user_gen_3,6,6,54,60,easy,Indian,synthetic|test,2025-11-17T08:00:00Z,
ramen-bowl-014,Ramen Bowl,A simple Ramen Bowl recipe for testing.,user_gen_2,4,25,19,44,medium,Indian,synthetic|test,2025-11-17T08:00:00Z,
spaghetti-aglio-009,Spaghetti Aglio,A simple Spaghetti Aglio recipe for testing.,user_gen_5,2,13,43,56,hard,Japanese,synthetic|test,2025-11-17T08:00:00Z,
tacos-012,Tacos,A simple Tacos recipe for testing.,user_gen_1,6,7,55,62,hard,Italian,synthetic|test,2025-11-17T08:00:00Z,
vada-pav-017,Vada pav,A simple Vada pav recipe for testing.,user_gen_2,4,13,12,25,easy,Italian,synthetic|test,2025-11-17T08:00:00Z,
veg-biryani-001,Veg Biryani,A simple Veg Biryani recipe for testing.,user_gen_2,2,20,58,78,easy,Indian,synthetic|test,2025-11-17T08:00:00Z,
